Palas,Precio,Marca,Color,Balance,Nucleo,Cara,Dureza,Nivel de Juego,Forma,Superficie,Tipo de Juego,Jugador,score_lesion,score_nivel,score_lesion_ajustado,score_nivel_ajustado
BULLPADEL INDIGA W MUJER 2023,194.95,bullpadel,"negro, rojo",3,2,0,3,2,3,2,3,hombre,0.8378378378378379,0.8830409356725146,0.6702702702702704,0.8830409356725146
SIUX SX GOLD,55.95,siux,"negro, gold",0,4,1,1,1,2,1,2,mixta,0.21621621621621623,0.035087719298245626,0.2810810810810811,0.2
HEAD SPEED ELITE 2023,108.95,head,"negro, marrón",3,1,1,0,2,2,1,3,mixta,0.3783783783783784,0.5146198830409358,0.4162162162162163,0.5146198830409358
SIUX TRILOGY 3 CONTROL RACKET,118.95,siux,rojo,1,4,0,0,2,1,1,1,hombre,0.08108108108108109,0.2339181286549708,0.2,0.304093567251462
HEAD GRAPHENE 360+ ALPHA TOUR,104.95,head,negro,3,1,0,2,2,3,1,3,hombre,0.5945945945945946,0.7426900584795323,0.5945945945945946,0.7426900584795323
BULLPADEL HACK 03 24,188.95,bullpadel,negro,3,2,0,2,2,3,2,3,mixta,0.7567567567567568,0.8128654970760234,0.6054054054054054,0.8128654970760234
BULLPADEL BUKET X SERIES,64.95,bullpadel,"negro, gris",1,4,1,0,2,1,2,0,mixta,0.08108108108108109,0.304093567251462,0.2,0.33450292397660825
BLACK CROWN HURRICANE 2.0 2023,200.0,black crown,"gris, rosa",2,4,1,0,2,1,1,2,mujer,0.24324324324324326,0.35672514619883045,0.31621621621621626,0.3923976608187135
BULLPADEL PEARL BEA GONZALEZ 2024,277.99,bullpadel,No data,3,2,0,2,3,3,2,2,mujer,0.6756756756756757,0.8596491228070177,0.6081081081081081,0.8596491228070177
ADIDAS RX SERIES LIGHT 2024,81.95,adidas,"negro, rosa",1,4,1,1,1,1,1,1,mujer,0.08108108108108109,0.0,0.2,0.2
BULLPADEL VERTEX W JR 24,59.95,wilson,"negro, verde",0,4,1,0,2,2,1,0,mixta,0.13513513513513514,0.2339181286549708,0.2,0.304093567251462
HEAD RADICAL PRO 2024,188.95,black crown,rosa,1,2,1,0,2,1,1,1,mujer,0.16216216216216217,0.2339181286549708,0.2,0.304093567251462
BLACK CROWN PITON FURIA 2023,89.95,head,No data,2,1,0,0,3,2,1,2,hombre,0.21621621621621623,0.4736842105263159,0.2810810810810811,0.4736842105263159
DUNLOP NEMESIS CARBON CONTROL,123.95,dunlop,"negro, verde",1,4,0,0,2,1,2,0,mixta,0.08108108108108109,0.304093567251462,0.2,0.33450292397660825
BABOLAT AIR VERON 2024,191.95,babolat,negro,2,2,0,0,2,0,2,2,hombre,0.32432432432432434,0.4269005847953218,0.35675675675675683,0.4269005847953218
WILSON ULTRA LT V2 PADEL 2,114.95,wilson,"negro, azul",3,4,0,0,2,3,2,0,mixta,0.35135135135135137,0.5672514619883041,0.38648648648648654,0.5672514619883041
ADIDAS RX SERIES LIME 2024,69.95,adidas,"negro, amarillo",1,4,1,1,1,1,1,1,hombre,0.08108108108108109,0.0,0.2,0.2
NOX ML10 SHOTGUN 18K LUXURY SERIES 2024,159.95,nox,"negro, rojo",2,2,0,2,2,3,2,2,hombre,0.5945945945945946,0.6549707602339182,0.5945945945945946,0.6549707602339182
SIUX FENIX LITE 4,229.0,siux,"negro, verde",1,4,0,1,1,1,2,1,hombre,0.08108108108108109,0.07017543859649124,0.2,0.2
SIUX TRILOGY LITE AIR 4,229.0,siux,negro,3,3,0,3,2,3,2,3,hombre,1.0,0.8830409356725146,0.9,0.8830409356725146
PALA VARLION LW CARBON 5 GP NEGRO,170.95,varlion,negro,2,2,0,2,3,1,1,2,hombre,0.4864864864864865,0.6140350877192984,0.4864864864864865,0.6140350877192984
SIUX TRILOGY 4 CONTROL LITE AIR W,229.0,siux,No data,1,4,0,2,1,1,2,1,mujer,0.24324324324324326,0.2105263157894737,0.31621621621621626,0.2736842105263158
SIUX BEAT HYBRID,79.0,siux,No data,2,4,1,2,1,0,0,2,hombre,0.40540540540540543,0.26315789473684215,0.40540540540540543,0.3421052631578948
BLACK CROWN SHARK,67.95,black crown,"negro, azul",2,4,1,2,1,2,2,2,hombre,0.4594594594594595,0.33333333333333337,0.4594594594594595,0.36666666666666675
STARVIE TITANIA KEPLER 2.0 2023,107.95,No data,"negro, azul, rojo",1,4,0,0,2,1,2,1,mixta,0.08108108108108109,0.304093567251462,0.2,0.33450292397660825
HEAD EXTREME ELITE 2023,134.95,head,verde,3,1,1,2,1,3,1,3,mixta,0.5945945945945946,0.5087719298245614,0.5945945945945946,0.5087719298245614
BABOLAT AIR VERTUO 2023,127.95,babolat,"azul, rojo",2,2,1,0,2,0,2,2,hombre,0.32432432432432434,0.4269005847953218,0.35675675675675683,0.4269005847953218
SIUX EVOQUE 3 AIR,74.95,siux,"negro, rosa",2,4,0,1,1,0,1,2,mujer,0.24324324324324326,0.12280701754385967,0.31621621621621626,0.2
HEAD ULTIMATE POWER II WITH CB NARANJA,74.95,head,"negro, amarillo, naranja",2,2,0,0,2,0,1,2,hombre,0.32432432432432434,0.35672514619883045,0.35675675675675683,0.3923976608187135
BLACK CROWN PITON 9.0,94.95,black crown,"negro, plateado",2,2,0,0,2,1,1,0,mixta,0.24324324324324326,0.32163742690058483,0.31621621621621626,0.35380116959064334
NOX SILHOUTTE CASUAL SERIES 23,72.95,nox,"negro, fucsia",1,2,1,0,1,1,1,3,mujer,0.32432432432432434,0.10526315789473685,0.35675675675675683,0.2
BULLPADEL VERTEX 04 W,149.95,bullpadel,blanco,3,2,0,2,3,3,2,2,mujer,0.6756756756756757,0.8596491228070177,0.6081081081081081,0.8596491228070177
WILSON BELA ELITE V2 ROJO,152.95,wilson,rojo,3,4,0,0,2,3,2,3,mixta,0.5135135135135136,0.6725146198830411,0.5135135135135136,0.6725146198830411
WILSON CUPRA PADEL V2 2,189.95,wilson,negro,3,2,0,2,2,3,2,3,mixta,0.7567567567567568,0.8128654970760234,0.6054054054054054,0.8128654970760234
DUNLOP IMPACT PRO HL YELLOW,59.95,dunlop,"negro, amarillo, azul",2,2,1,0,2,0,1,0,mixta,0.24324324324324326,0.32163742690058483,0.31621621621621626,0.35380116959064334
DUNLOP SKIN CONTROL SOFT,59.95,dunlop,"negro, rosa",2,4,0,0,1,2,1,0,mixta,0.21621621621621623,0.08771929824561406,0.2810810810810811,0.2
BABOLAT COUNTER VERTUO 2023,127.95,babolat,"negro, amarillo",1,2,1,0,1,0,2,1,hombre,0.16216216216216217,0.07017543859649124,0.2,0.2
NOX AT10 GENIUS ULTRALIGHT 23,64.95,nox,"negro, blanco, verde",2,2,1,0,2,2,1,2,mixta,0.3783783783783784,0.35672514619883045,0.4162162162162163,0.3923976608187135
HEAD ULTIMATE POWER GREEN WITH CB,69.95,head,"negro, verde",2,2,0,0,2,2,2,2,hombre,0.3783783783783784,0.4269005847953218,0.4162162162162163,0.4269005847953218
PALA SIUX TRILOGY II CONTROL PATTY PRO,115.0,siux,"negro, verde",1,2,0,0,3,1,1,1,mujer,0.16216216216216217,0.35087719298245623,0.2,0.3859649122807019
BULLPADEL INDIGA PWR 2024,51.95,bullpadel,"blanco, rojo",3,4,1,1,1,3,1,3,mixta,0.5135135135135136,0.368421052631579,0.5135135135135136,0.40526315789473694
BULLPADEL HACK 02,129.95,bullpadel,"negro, verde",3,2,0,3,2,3,1,3,hombre,0.8378378378378379,0.8128654970760234,0.6702702702702704,0.8128654970760234
BLACK CROWN PITON,104.95,black crown,"negro, gold",1,2,0,0,2,1,1,0,mixta,0.16216216216216217,0.2339181286549708,0.2,0.304093567251462
WILSON ULTRA PRO V2,108.95,wilson,"negro, azul",3,3,0,0,2,3,2,0,hombre,0.5945945945945946,0.5672514619883041,0.5945945945945946,0.5672514619883041
BABOLAT TECHNICAL VERTUO 2023,127.95,babolat,"amarillo, rojo",3,2,0,2,2,3,2,3,hombre,0.7567567567567568,0.8128654970760234,0.6054054054054054,0.8128654970760234
HEAD ULTIMATE POWER II WITH CB AMARILLO VERDE,74.95,head,"negro, amarillo, verde",2,2,0,0,2,0,1,2,hombre,0.32432432432432434,0.35672514619883045,0.35675675675675683,0.3923976608187135
BULLPADEL FLOW LIGHT MUJER 2024,69.95,bullpadel,"naranja, azul",1,2,1,0,2,1,1,1,mujer,0.16216216216216217,0.2339181286549708,0.2,0.304093567251462
NOX X-ONE EVO RED,64.95,nox,"negro, rojo",2,2,1,2,1,1,1,2,mixta,0.4864864864864865,0.26315789473684215,0.4864864864864865,0.3421052631578948
DUNLOP SKIN ATTACK SOFT,59.95,dunlop,"negro, amarillo, gris",3,4,0,0,1,3,1,0,mixta,0.35135135135135137,0.26315789473684215,0.38648648648648654,0.3421052631578948
BULLPADEL VERTEX 04 HYBRID,194.95,bullpadel,"negro, rojo",1,2,0,2,3,0,2,1,hombre,0.32432432432432434,0.5614035087719299,0.35675675675675683,0.5614035087719299
SIUX RAVEN 18K CONTROL,114.95,siux,"negro, azul",2,4,0,0,2,1,1,0,mixta,0.16216216216216217,0.32163742690058483,0.2,0.35380116959064334
DUNLOP IMPACT HL RED,49.95,dunlop,"negro, rojo",2,4,1,0,1,2,1,0,mixta,0.21621621621621623,0.08771929824561406,0.2810810810810811,0.2
BLACK CROWN PITON 2.0,99.95,black crown,"negro, plateado",1,3,1,0,2,1,2,0,mixta,0.32432432432432434,0.304093567251462,0.35675675675675683,0.33450292397660825
NOX ML10 PRO CUP SILVER 2023,129.95,nox,"blanco, plateado, rosa",1,2,1,0,3,1,1,1,mujer,0.16216216216216217,0.35087719298245623,0.2,0.3859649122807019
BULLPADEL INDIGA CTR 2024,49.95,bullpadel,"negro, verde",1,4,1,0,1,1,1,1,mixta,0.08108108108108109,0.0,0.2,0.2
HEAD GRAPHENE TOUCH EXPLOSION,94.95,head,"negro, amarillo, rojo",2,2,0,0,2,2,1,2,hombre,0.3783783783783784,0.35672514619883045,0.4162162162162163,0.3923976608187135
SIUX DIABLO REVOLUTION PRO 3,295.0,siux,"negro, rojo",2,2,0,2,2,0,2,2,hombre,0.4864864864864865,0.5672514619883041,0.4864864864864865,0.5672514619883041
DUNLOP IMPACT PRO HL GREEN,59.95,dunlop,"negro, azul, verde",2,2,1,0,2,0,1,0,mixta,0.24324324324324326,0.32163742690058483,0.31621621621621626,0.35380116959064334
BABOLAT TECHNICAL VERTUO JUAN LEBRON 2024,159.95,bullpadel,rojo,3,2,2,2,2,3,2,3,hombre,0.8216216216216217,0.8128654970760234,0.6572972972972974,0.8128654970760234
BULLPADEL IONIC POWER 24,122.95,babolat,"negro, blanco, rojo",3,2,0,2,3,3,2,3,hombre,0.7567567567567568,0.9298245614035089,0.6054054054054054,0.9298245614035089
BULLPADEL BRAVE 3.0,74.95,bullpadel,"amarillo, gris",2,4,1,0,1,2,1,0,mixta,0.21621621621621623,0.08771929824561406,0.2810810810810811,0.2
ADIDAS METALBONE HRD+ 2024,350.95,adidas,"negro, blanco",3,3,0,3,2,3,0,3,hombre,1.0,0.8128654970760234,0.9,0.8128654970760234
RS RIALTO PRO CAYETANO ROCAFORT,305.95,No data,negro,2,2,0,1,2,2,2,2,hombre,0.3783783783783784,0.4269005847953218,0.4162162162162163,0.4269005847953218
SIUX SX7 AIR,59.95,siux,"negro, morado",1,4,1,1,1,1,1,0,mujer,0.08108108108108109,0.0,0.2,0.2
ADIDAS CROSS IT 2024,225.95,adidas,naranja,3,3,0,3,3,3,2,3,hombre,1.0,1.0,0.9,1.0
HEAD GRAPHENE XT MASTER LTD WITH CB,179.95,head,"negro, blanco",1,1,0,2,2,1,2,1,mixta,0.16216216216216217,0.44444444444444453,0.2,0.44444444444444453
ADIDAS ADIPOWER LEGEND 2024,186.95,adidas,No data,3,4,0,1,2,3,2,3,hombre,0.5135135135135136,0.6725146198830411,0.5135135135135136,0.6725146198830411
SIUX IMPACT,79.95,siux,"negro, azul",2,4,0,0,1,1,2,0,mixta,0.16216216216216217,0.1578947368421053,0.2,0.2
NOX ML10 PRO CUP SURVIVOR,113.95,nox,"negro, verde",2,4,1,0,2,1,1,0,mixta,0.16216216216216217,0.32163742690058483,0.2,0.35380116959064334
NOX ML10 PRO CUP 3K LUXURY SERIES 2024,168.95,nox,"negro, blanco, rojo",2,2,0,2,2,1,2,1,hombre,0.40540540540540543,0.5321637426900585,0.40540540540540543,0.5321637426900585
SOFTEE BASICA INICIACION,4.95,softee,amarillo,2,0,0,0,1,0,1,0,mixta,0.08108108108108109,0.08771929824561406,0.2,0.2
WILSON BELA PRO V2,217.95,wilson,rojo,2,2,0,0,2,3,2,2,mixta,0.43243243243243246,0.5146198830409358,0.43243243243243246,0.5146198830409358
BULLPADEL HACK 03 COMFORT 24,145.99,bullpadel,negro,3,2,0,2,2,3,2,3,mixta,0.7567567567567568,0.8128654970760234,0.6054054054054054,0.8128654970760234
HEAD ALPHA JUNIOR SANYO,52.95,head,"negro, blanco",2,1,0,0,1,2,1,0,mixta,0.13513513513513514,0.08771929824561406,0.2,0.2
SIUX PEGASUS GRAFENO 1K,149.95,siux,"negro, gris",0,4,0,1,2,2,1,2,hombre,0.21621621621621623,0.2690058479532164,0.2810810810810811,0.34970760233918136
SIUX SNAKE WOMAN,99.95,siux,"negro, blanco",2,4,1,0,2,0,1,0,mujer,0.16216216216216217,0.32163742690058483,0.2,0.35380116959064334
BLACK CROWN HURRICANE PRO 2.0 2023,181.95,black crown,"gris, rosa",3,4,0,0,2,1,1,3,mujer,0.40540540540540543,0.5146198830409358,0.40540540540540543,0.5146198830409358
VIBOR-A LIQUID YARARA,129.95,vibor-a,"negro, gold",2,2,0,0,2,2,2,0,mixta,0.2972972972972973,0.3918128654970761,0.38648648648648654,0.43099415204678376
BABOLAT CONTACT 2022,71.95,babolat,"azul, rojo",1,4,1,0,1,1,1,2,mixta,0.16216216216216217,0.035087719298245626,0.2,0.2
WILSON BLADE TEAM V2,39.95,wilson,"negro, verde",2,4,1,0,2,2,1,0,mixta,0.21621621621621623,0.32163742690058483,0.2810810810810811,0.35380116959064334
DUNLOP TITAN 2.0 PINK,89.95,dunlop,No data,2,0,1,2,2,0,1,2,mujer,0.32432432432432434,0.49707602339181295,0.35675675675675683,0.49707602339181295
ADIDAS METALBONE TEAM LIGHT 3.3 2024,169.95,adidas,"negro, azul",1,2,1,1,2,1,2,1,hombre,0.16216216216216217,0.304093567251462,0.2,0.33450292397660825
ADIDAS ADIPOWER CTRL TEAM 3.3,109.95,adidas,naranja,1,4,1,2,2,1,1,1,hombre,0.24324324324324326,0.3742690058479533,0.31621621621621626,0.41169590643274867
SIUX RAVEN 3K HYBRID,99.95,siux,"negro, verde",2,4,0,0,2,0,1,0,mixta,0.16216216216216217,0.32163742690058483,0.2,0.35380116959064334
HEAD EXTREME PRO ARTURO COELLO 2024,320.0,head,No data,3,1,2,2,2,3,2,3,hombre,0.6594594594594595,0.8128654970760234,0.5935135135135136,0.8128654970760234
BLACK CROWN PITON ATTACK 16K 2023,129.95,black crown,"negro, naranja",3,4,0,2,2,2,2,3,hombre,0.6216216216216217,0.7251461988304094,0.5594594594594595,0.7251461988304094
ENEBE MASSIVE 21,84.95,enebe,"negro, rojo",3,2,0,0,2,3,1,0,mixta,0.43243243243243246,0.49707602339181295,0.43243243243243246,0.49707602339181295
HEAD RADICAL MOTION 2024,164.95,head,rojo,2,0,0,0,2,2,0,2,hombre,0.21621621621621623,0.35672514619883045,0.2810810810810811,0.3923976608187135
VARLION LW HEXAGON 8.8 WOMAN,52.95,varlion,"negro, rosa",1,4,1,1,1,1,1,1,mujer,0.08108108108108109,0.0,0.2,0.2
ADIDAS DRIVE LIGHT 3.3,59.95,adidas,"negro, blanco, azul",1,4,1,1,1,1,1,1,mujer,0.08108108108108109,0.0,0.2,0.2
DUNLOP INFINITY PRO G1 HL BLACK,94.95,dunlop,negro,2,2,0,0,2,2,2,0,mixta,0.2972972972972973,0.3918128654970761,0.38648648648648654,0.43099415204678376
VARLION LW CARBON TI,65.95,varlion,"negro, morado",1,4,2,0,2,1,2,0,mixta,0.14594594594594595,0.304093567251462,0.2,0.33450292397660825
HEAD GRAVITY ELITE 2022,89.95,head,"gris, morado",1,1,1,0,2,1,1,0,mixta,0.0,0.2339181286549708,0.2,0.304093567251462
VIBOR-A SERPENT ADVANCE 2022,75.95,vibor-a,"negro, verde",2,4,1,0,2,2,2,0,mixta,0.21621621621621623,0.3918128654970761,0.2810810810810811,0.43099415204678376
ENEBE MASSIVE 22,103.95,enebe,"negro, rojo",3,4,0,0,2,3,1,0,mixta,0.35135135135135137,0.49707602339181295,0.38648648648648654,0.49707602339181295
RS PADEL PRIME EDITION 2.0 BLANCO MUJER,188.95,No data,"blanco, gold",2,2,0,0,2,2,2,0,mujer,0.2972972972972973,0.3918128654970761,0.38648648648648654,0.43099415204678376
HEAD FLASH PRO,125.95,head,No data,2,4,1,1,2,2,1,2,hombre,0.2972972972972973,0.35672514619883045,0.38648648648648654,0.3923976608187135
KOMBAT MM3 PRO 2024,125.0,No data,blanco,2,2,0,2,2,2,2,2,hombre,0.5405405405405406,0.5672514619883041,0.5405405405405406,0.5672514619883041
BULLPADEL HACK 03 2023,159.95,bullpadel,"negro, plateado",3,2,0,0,2,3,1,3,mixta,0.5945945945945946,0.6023391812865498,0.5945945945945946,0.6023391812865498
BABOLAT TECHNICAL VIPER LEBRON 2023,159.95,babolat,"negro, azul, rojo",3,2,0,3,3,3,2,3,hombre,0.8378378378378379,1.0,0.6702702702702704,1.0
NOX AT10 GENIUS 12K BY AGUSTIN TAPIA 23,179.95,nox,"negro, verde",3,2,0,0,2,2,2,2,mixta,0.4594594594594595,0.5146198830409358,0.4594594594594595,0.5146198830409358
BULLPADEL VERTEX 03 2023,169.95,bullpadel,"negro, gold, naranja",3,2,0,0,2,3,2,3,mixta,0.5945945945945946,0.6725146198830411,0.5945945945945946,0.6725146198830411
SIUX DIABLO REVOLUTION II SANYO PRO RACKET,159.95,siux,"blanco, gris",2,4,0,2,3,0,1,2,hombre,0.40540540540540543,0.6140350877192984,0.40540540540540543,0.6140350877192984
BABOLAT AIR VIPER 2022,148.95,babolat,"negro, blanco, azul",2,2,0,0,3,2,2,0,hombre,0.2972972972972973,0.5087719298245614,0.38648648648648654,0.5087719298245614
PACK PALA BULLPADEL VERTEX 2 LTD MUJER,110.95,bullpadel,No data,2,2,0,2,2,3,2,3,mujer,0.6756756756756757,0.7251461988304094,0.6081081081081081,0.7251461988304094
BULLPADEL VERTEX 03 CTR 2023,155.95,bullpadel,"negro, amarillo",1,2,0,0,2,1,2,1,mixta,0.16216216216216217,0.304093567251462,0.2,0.33450292397660825
NOX AT10 GENIUS 18K AGUSTIN TAPIA 2024,209.95,nox,blanco,2,2,0,2,2,2,2,2,mixta,0.5405405405405406,0.5672514619883041,0.5405405405405406,0.5672514619883041
BABOLAT TECHNICAL VERON 2023,125.95,babolat,"negro, rojo",3,2,2,2,2,3,2,3,mixta,0.8216216216216217,0.8128654970760234,0.6572972972972974,0.8128654970760234
HEAD GRAPHENE 360 DELTA GOLD,89.95,head,"negro, gold",3,1,1,0,2,3,1,0,mixta,0.2702702702702703,0.49707602339181295,0.35135135135135137,0.49707602339181295
BULLPADEL VERTEX 03 W MUJER 2023,109.95,bullpadel,"blanco, azul, rosa",3,2,2,0,2,3,2,3,mujer,0.6594594594594595,0.6725146198830411,0.5935135135135136,0.6725146198830411
PALA SIUX DIABLO REVOLUTION II AIR,129.95,siux,"negro, blanco, gris",2,2,0,2,3,0,1,2,hombre,0.4864864864864865,0.6140350877192984,0.4864864864864865,0.6140350877192984
BABOLAT COUNTER VERON 2023,118.95,babolat,"negro, amarillo",2,2,2,0,2,1,2,2,mixta,0.3891891891891892,0.4269005847953218,0.4281081081081082,0.4269005847953218
NOX ML10 PRO CUP COORP 23,104.95,nox,"blanco, gold",2,2,1,0,2,1,1,2,mixta,0.32432432432432434,0.35672514619883045,0.35675675675675683,0.3923976608187135
BABOLAT TECHNICAL VIPER 2023,148.95,babolat,"negro, rojo",3,2,0,2,3,3,2,3,hombre,0.7567567567567568,0.9298245614035089,0.6054054054054054,0.9298245614035089
PALA SIUX FENIX II 3K,89.95,siux,"negro, naranja",2,2,0,0,2,0,2,2,hombre,0.32432432432432434,0.4269005847953218,0.35675675675675683,0.4269005847953218
DUNLOP SONIC,179.95,dunlop,"negro, amarillo",2,4,0,0,1,2,1,0,mixta,0.21621621621621623,0.08771929824561406,0.2810810810810811,0.2
SIUX DIABLO REVOLUTION II,129.95,siux,"negro, blanco, plateado",3,2,0,3,3,0,2,2,hombre,0.6486486486486487,0.8421052631578948,0.5837837837837838,0.8421052631578948
