Palas,Precio,Marca,Color,Balance,Nucleo,Cara,Dureza,Nivel de Juego,Forma,Superficie,Tipo de Juego,Jugador,score_lesion,score_nivel
VIDAR OF BASTAD CC ELITE X,178.95,No data,"negro, gris",0,2,0,0,2,2,2,0,mixta,0.34615384615384615,0.39488117001828155
DROP SHOT CONQUEROR 10 JR,26.95,drop shot,"negro, azul",0,4,1,0,2,2,1,0,junior,0.46923076923076923,0.47531992687385743
DROP SHOT SPEKTRO 7.0 BT,179.95,drop shot,"negro, rosa",0,3,0,0,2,0,1,1,mixta,0.34615384615384615,0.34003656307129804
SOFTEE POTENZA EVOLUTION ROJO NEGRO,165.95,softee,"negro, plateado",0,4,0,0,2,3,1,0,mixta,0.46153846153846156,0.4936014625228519
SOFTEE HELIX NEGRO AMARILLO,178.0,softee,"negro, amarillo",3,4,0,0,2,3,1,0,mixta,0.6346153846153847,0.6307129798903108
SOFTEE WINNER PRO LIMA,83.95,bullpadel,"negro, blanco, rojo",3,2,0,0,2,3,2,0,mixta,0.5576923076923077,0.586837294332724
BULLPADEL VERTEX CARBON L.E. ROJO,189.95,softee,"negro, lima",0,4,0,0,2,2,1,0,mixta,0.42307692307692313,0.4387568555758684
JOMA OPEN NEGRO TURQUESA,71.95,joma,"negro, azul, verde",2,4,1,1,1,2,1,2,hombre,0.7192307692307692,0.6380255941499086
VIBOR-A REAL,64.95,vibor-a,"negro, verde",3,4,1,0,1,1,2,3,hombre,0.7769230769230769,0.6928702010968922
SOFTEE RUNA 3K HYBRID FUCSIA,152.95,softee,"negro, fucsia",0,4,0,0,2,0,1,0,mixta,0.34615384615384615,0.3290676416819013
NOX ULTIMATE POWER FIBER BLACK LTD,215.95,nox,"negro, gris",3,2,1,0,2,3,2,3,mixta,0.7769230769230769,0.7879341864716637
PALA BEACH TENNIS ADIDAS METALBONE CARBON H34 NEGRO,189.95,No data,negro,2,4,0,1,2,2,2,1,hombre,0.6923076923076923,0.6636197440585009
PALA BEACH TENNIS ADIDAS BT METALBONE CARBON,259.95,adidas,negro,3,4,0,3,2,2,2,3,hombre,0.9807692307692308,0.9159049360146252
PICKLEBALL ADIDAS PB ADIPOWER CTRL TEAM PB2CA0U29,184.95,adidas,amarillo,2,0,1,0,2,0,0,1,mixta,0.29615384615384616,0.283363802559415
PICKLEBALL HEAD RADICAL TOUR CO 226012,144.95,head,negro,0,0,1,0,2,0,0,3,hombre,0.29615384615384616,0.3107861060329068
BULLPADEL VERTEX 04 CMF BR 2024,181.95,bullpadel,No data,3,2,0,2,2,3,2,3,hombre,0.8461538461538463,0.8391224862888482
VIBOR-A KING COBRA LIQUID EDITION 2023,205.95,vibor-a,"negro, rojo",2,4,0,0,2,2,2,2,mixta,0.6923076923076923,0.6745886654478978
ORYGEN STRATUS XTREME,59.95,orygen,"negro, amarillo",3,4,0,0,2,2,1,0,mixta,0.5961538461538461,0.5758683729433273
DUNLOP RAPID CONTROL 3,110.95,No data,"negro, rosa",1,4,1,0,1,1,1,1,mixta,0.5076923076923077,0.4296160877513711
STARVIE VESTA 2.0 2023,55.95,dunlop,"negro, amarillo, azul",2,4,1,0,1,1,1,0,mixta,0.5076923076923077,0.4296160877513711
PICKLEBALL HEAD EXTREME PRO 2023,109.95,head,verde,0,0,0,0,3,3,0,3,mixta,0.40384615384615385,0.5118829981718465
WILSON PRO STAFF LT V2,199.95,wilson,"negro, azul",1,4,0,0,2,1,2,0,mixta,0.4807692307692308,0.4552102376599635
VIBOR-A DIVA ELITE 3K 2024,184.95,vibor-a,negro,2,2,0,2,2,1,2,1,hombre,0.5961538461538461,0.5648994515539306
SIUX TSUNAMI JUNIOR,49.95,siux,"negro, verde",1,4,1,0,1,1,1,1,junior,0.5076923076923077,0.4296160877513711
NOX AT10 GENIUS 18K BY AGUSTÍN TAPIA 23,179.95,nox,"negro, gris",2,2,0,0,2,2,2,2,mixta,0.576923076923077,0.586837294332724
PRINCE ROCKET BLACK TATTOO,149.95,prince,"negro, blanco, rojo",2,2,0,0,1,1,1,2,hombre,0.46153846153846156,0.4149908592321755
VIBOR-A NAYA JUNIOR PURPLE 2023,44.95,vibor-a,"negro, lila",2,4,2,0,1,1,1,2,junior,0.6692307692307692,0.5758683729433273
VARLION LW ONE PALM 2023,61.95,varlion,"blanco, gold",1,4,1,0,1,1,1,1,mixta,0.5076923076923077,0.4296160877513711
BULLPADEL SKY AZUL,49.95,bullpadel,"negro, azul",1,4,1,0,1,1,1,0,mixta,0.45,0.3747714808043876
SIUX PEGASUS GV EDITION,148.95,siux,negro,2,2,0,2,2,0,1,2,hombre,0.576923076923077,0.5210237659963437
ROYAL PADEL RP 779 WHIP POLY 2024,220.95,bullpadel,"negro, gold",2,4,0,0,1,2,2,0,mixta,0.5384615384615385,0.4917733089579525
BULLPADEL GOLD 3.0,44.95,royal padel,No data,2,0,1,0,2,1,2,2,hombre,0.46923076923076923,0.48080438756855576
PICKLEBALL HEAD GRAVITY TOUR 2023,170.95,head,negro,0,1,0,0,2,0,2,3,hombre,0.38461538461538464,0.40585009140767825
PICKLEBALL HEAD EXTREME TOUR 2023,154.95,No data,No data,0,0,0,0,0,0,0,0,No data,0.0,0.0
DROP SHOT CONCEPT PRO,109.95,drop shot,No data,2,4,0,0,1,2,2,0,mixta,0.5384615384615385,0.4917733089579525
BULLPADEL VERTEX 04 W MFINAL 23,202.95,bullpadel,No data,3,2,0,2,2,3,2,3,mujer,0.8461538461538463,0.8391224862888482
WINGPADEL AIR CYCLONE 2.0 454076,64.95,No data,No data,0,0,0,0,0,0,0,0,No data,0.0,0.0
DUNLOP ROCKET RED NH 623966,49.95,No data,No data,0,0,0,0,0,0,0,0,No data,0.0,0.0
